,row_id,file_hash,raw_sha,count,url,mod_file,type,subtype_confidence,ask_robert,annotated,Robert reviewed,notes_free_text,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,subtype_num,original_subtype_label
0,1,f8be35d0c20d1b1f3de4c44323e1780ee24f06893b6364efc092f38dc8b33959,67b75245b9690ce219f34a5905425672dcb5c0661a885feb379b854d51144605,6,https://modeldb.science/183300?tab=2&file=ShortEtAl2016/NaP.mod,Sodium persistent current,I Na,3 - Highly confident,n,y,,,,,,,subtype_1,I Na (Persistent)
1,2,e97ca8a7f9734805832e5ae75442d19d3d7796b9a24190a20d107d1ea27784df,b45c13164f1eeaf4ba61ee8522304f7382fa0541831b1ac9559d69f636ed8f20,1,https://modeldb.science/223649?tab=2&file=AlturkiEtAl2016/1_Hemond/Segregated/kaprox.mod,K-A channel from Klee Ficker and Heinemann,I K,3 - Highly confident,n,y,y,2025-05-24: IC Updated to A-type transient,,,,,subtype_1,I K (A-Type Transient)
2,3,b428f4a84f4302dd5e9139beb678039621e4ee5e88b780a06f53ed6a9afdccca,b720bf29848dde82785dd101105f185ebcf9affa081dfd1fc43469edf29ddf2c,1,https://modeldb.science/3511?tab=2&file=mcn1/mcn1_lg.mod,"Regulation of a slow STG rhythn, POINT_PROCESS mcn1_lgsyn",Receptor,1 - Not confident at all,y,y,,8/9: still not sure if receptor,,,,,subtype_1,
3,4,606423f8f4a4f406f3387c7ee6f142bd121237272c347d84024c29b5654ad0d2,81645a02d4dbf324cf8b82e8f31bda2ce46c3753f7a8ac2b6a3fc12543acec03,1,https://modeldb.science/262115?tab=2&file=demo_destexhe-pare-1999/multiGABAa.mod,multiple GABAa receptors,Receptor,3 - Highly confident,n,y,,,,,,,subtype_1,R GABA (type A)
4,5,99713c0032634e96cc7cde2dce02d8aa2baf75ad4cc835330db0d3ba2c1ed1f9,5fe32f050754f534d60c7c126ecd805216089cd05940623caaad75b9a6b8a38e,1,https://modeldb.science/150288?tab=2&file=KimEtAl2013/interV2pyrDDANE_STFD.mod,:Interneuron Cells to Pyramidal Cells GABA with local Ca2+ pool and read public soma Ca2+ pool,Receptor,3 - Highly confident,n,y,,,,,,,subtype_1,R GABA (general)
5,6,2d34ae241d628e7f25374c1bd84a8138cedc6a54689568cc5d3a77b960eee2d2,e32c13f86fd288bbf970cfb81107feaef7ed6ad376b915d2ed1f6610b0e89ce3,1,https://modeldb.science/150288?tab=2&file=KimEtAl2013/pyrD2pyrVDA_STFD.mod,:Pyramidal Cells to Pyramidal Cells AMPA+NMDA with local Ca2+ pool,R Multi,3 - Highly confident,n,y,,mix,,,,,subtype_1,R Glutamate (AMPA)
6,7,10ba049ae44a7641e6f429489d55721ea55e895f9d09fac16ac3b066a314de96,13d39d1cfc5a4b87fc6018b594f54e50ecdcbcd6ccf9a635a2ee43700b4cbacf,3,https://modeldb.science/186768?tab=2&file=SanjayEtAl2015/MyExp2Syn.mod,"CA3 Network Model of Epileptic Activity, NET_RECEIVE(weight (uS),srcgid) {",Neither,3 - Highly confident,n,y,,,,,,,subtype_1,Neither - Utility
7,8,f1b1a583cad9b55184a504a561c9f578dd68fb1c2b30e8126fb3384790c8d86f,011d2d95cf9d6335dd1419e6d3b56ba76622e53a52d16ba45666dfdb06d322ec,1,https://modeldb.science/124063?tab=2&file=PublioEtAl2009/syn_bip_gan.mod,Graded Synapse with first order binding kinetics,Receptor,1 - Not confident at all,y,y,,8/9: still not sure if receptor,,,,,subtype_1,
8,9,174426ec50bc4b0325250ac4f8d6b456e7b7e76a944494251d8d41aeed5d0419,65cc3c4ed9cb2e64b27739fcd4709c0c15ed95eff5f5f7036ccb857e8bfaf088,2,https://modeldb.science/143633?tab=2&file=Birdno_et_al_2012/modfiles/leakdepol.mod,McCormick and Huguenard Na and K leak channels,I Multi,3 - Highly confident,n,y,,,,,,,subtype_1,I Na (Leak)
9,10,a60a597677abbb4b755e0c0ecc6bc3ccb4a013bdcaba16ee4d9f81441399f4ec,9e58366f7bed865d583439908aaabb0522769e24f4d0650d4cbeb390a53ebdab,1,https://modeldb.science/254217?tab=2&file=GidonEtAl2020_fig3andS9/_mod/mySyn.mod,Dendritic action potentials and computation in human layer 2/3 cortical neurons,Receptor,1 - Not confident at all,y,y,,8/9: INCLUDE - has mostly INCLUDE statements,,,,,subtype_1,
